,latitude,longitude,index,name,cost_text,Bed,Bath,Park,property_type,desc_head
0,-37.8650177,144.9746821,https://www.domain.com.au/3502-14-16-the-esplanade-st-kilda-vic-3182-16002767,3502/14-16 The Esplanade St Kilda VIC 3182,5000,1,1,1,Apartment / Unit / Flat,noth els compar
1,-37.8141725,144.9740049,https://www.domain.com.au/4203-35-spring-street-melbourne-vic-3000-15939303,4203/35 Spring Street Melbourne VIC 3000,4500,3,2,2,Apartment / Unit / Flat,arguabl captiv penthous
2,-37.8301164,144.9569041,https://www.domain.com.au/901-902-85-market-street-south-melbourne-vic-3205-14089455,901 & 902/85 Market Street South Melbourne VIC 3205,3750.0,2,2,1,Apartment / Unit / Flat,call exclus penthous short stay minimum week stay
3,-37.8310813,145.0520938,https://www.domain.com.au/hawthorn-east-vic-3123-15909448,Hawthorn East VIC 3123,3750,4,2,3,House,luxuri finest month leas avail unfurnish fulli furnish
4,-37.8223967,144.938237,https://www.domain.com.au/50-south-wharf-drive-docklands-vic-3008-16048359,50 South Wharf Drive Docklands VIC 3008,3750,2,2,1,Townhouse,luxuri style space
5,-37.8534875,145.0311415,https://www.domain.com.au/7-haverbrack-avenue-malvern-vic-3144-16041473,7 Haverbrack Avenue Malvern VIC 3144,3500,2,2,2,House,famili exclus resort style ground
6,-37.8155278,145.0368923,https://www.domain.com.au/603-862-glenferrie-road-hawthorn-vic-3122-15954871,603/862 Glenferrie Road Hawthorn VIC 3122,3500,3,3,2,Apartment / Unit / Flat,hawthorn best penthous amaz citi view
7,-37.8016119,145.0287974,https://www.domain.com.au/1-molesworth-street-kew-vic-3101-16037410,1 Molesworth Street Kew VIC 3101,3500,2,1,1,House,opul famili masterpiec central
8,-37.9171837,144.9882699,https://www.domain.com.au/9-keith-court-brighton-vic-3186-16058214,9 Keith Court Brighton VIC 3186,3500.0,4,2,0,House,applic
9,-37.895941,144.986729,https://www.domain.com.au/1-20-kent-avenue-brighton-vic-3186-16069407,1/20 Kent Avenue Brighton VIC 3186,3500.0,3,1,1,House,premier locat could next home
10,-37.8330903,145.0331881,https://www.domain.com.au/493-glenferrie-road-hawthorn-vic-3122-16030008,493 Glenferrie Road Hawthorn VIC 3122,3500,2,1,1,House,stun resid privat conveni
11,-37.8895631,145.0883004,https://www.domain.com.au/13-780-warrigal-rd-malvern-east-vic-3145-15359332,13/780 Warrigal Rd Malvern East VIC 3145,3300,1,1,1,Apartment / Unit / Flat,short walk shop
12,-37.807859,144.960611,https://www.domain.com.au/7302-462-elizabeth-street-melbourne-vic-3000-15631154,7302/462 Elizabeth Street Melbourne VIC 3000,3100,4,4,3,Apartment / Unit / Flat,furnish execut apart floor unlimit high speed
13,-37.8090372,144.9610905,https://www.domain.com.au/3607-80-a-beckett-street-melbourne-vic-3000-11696896,3607/80 A'Beckett Street Melbourne VIC 3000,3000,2,2,1,Apartment / Unit / Flat,bedroom apart
14,-37.841798,144.8788595,https://www.domain.com.au/50-mason-street-newport-vic-3015-15437766,50 Mason Street Newport VIC 3015,3000,4,2,4,House,ideal medic room maximum exposur heart
15,-37.9302634,145.0000624,https://www.domain.com.au/10-margarita-st-hampton-vic-3188-16069683,10 Margarita St Hampton VIC 3188,3000,4,2,4,House,heavenli
16,-37.9399869,145.0199068,https://www.domain.com.au/1-bronte-court-hampton-vic-3188-16043802,1 Bronte Court Hampton VIC 3188,3000,4,3,2,House,masterpiec
17,-37.9152565,144.9991801,https://www.domain.com.au/9-9-11-adamson-street-brighton-vic-3186-16071478,9/9-11 Adamson Street Brighton VIC 3186,3000,4,2,3,Apartment / Unit / Flat,penthous
18,-37.8650177,144.9746821,https://www.domain.com.au/2202-14-16-the-esplanade-st-kilda-vic-3182-15969170,2202/14-16 The Esplanade St Kilda VIC 3182,3000,3,2,2,Apartment / Unit / Flat,exclus new address welcom saint
19,-37.915482,144.9891089,https://www.domain.com.au/5-wellington-street-brighton-vic-3186-15950472,5 Wellington Street Brighton VIC 3186,2995,5,3,2,House,contemporari masterpiec
20,-37.8650177,144.9746821,https://www.domain.com.au/2401-14-16-the-esplanade-st-kilda-vic-3182-16072629,2401/14-16 The Esplanade St Kilda VIC 3182,2800,3,2,2,Apartment / Unit / Flat,beach view luxuri throughout
21,-37.831142,144.9708545,https://www.domain.com.au/251-350-st-kilda-road-melbourne-vic-3000-15951316,251/350 St Kilda Road Melbourne VIC 3000,2800,3,3,2,Apartment / Unit / Flat,half floor penthous apart desir st
22,-37.8650177,144.9746821,https://www.domain.com.au/2601-14-16-the-esplanade-st-kilda-vic-3182-16047323,2601/14-16 The Esplanade St Kilda VIC 3182,2700,3,2,2,Apartment / Unit / Flat,live life like welcom saint
23,-37.7965569,144.9711271,https://www.domain.com.au/119-121-palmerston-street-carlton-vic-3053-13973576,119-121 Palmerston Street Carlton VIC 3053,2600,2,2,1,House,ultim indulg
24,-37.9200549,144.9957406,https://www.domain.com.au/42-dendy-street-brighton-vic-3186-15988734,42 Dendy Street Brighton VIC 3186,2600.0,4,3,2,House,luxuri resid design famili live
25,-37.8114187,144.9587916,https://www.domain.com.au/231-299-queen-street-melbourne-vic-3000-15986804,231/299 Queen Street Melbourne VIC 3000,2600.0,3,2,2,Apartment / Unit / Flat,metropoli penthous republ tower
26,-37.8270184,144.9997611,https://www.domain.com.au/richmond-vic-3121-13533466,Richmond VIC 3121,2500,3,2,2,House,fulli furnish farmhous huge garden avail
27,-37.8175602,144.9585916,https://www.domain.com.au/5401-464-collins-street-melbourne-vic-3000-16063884,5401/464 Collins Street Melbourne VIC 3000,2500,2,2,2,Apartment / Unit / Flat,hous sub penthous half floor extraordinari view
28,-37.8396668,145.0842242,https://www.domain.com.au/156-highfield-road-camberwell-vic-3124-16062806,156 Highfield Road Camberwell VIC 3124,2500,4,2,2,House,ultim exclus live
29,-37.8650177,144.9746821,https://www.domain.com.au/3203-14-16-the-esplanade-st-kilda-vic-3182-15986065,3203/14-16 The Esplanade St Kilda VIC 3182,2500,3,3,2,Apartment / Unit / Flat,live life like exclus leas opportun ocean view
30,-37.8472801,145.0067771,https://www.domain.com.au/21-mathoura-road-toorak-vic-3142-15987977,21 Mathoura Road Toorak VIC 3142,2500.0,3,2,2,House,hick design desir local
31,-37.8439084,145.0125453,https://www.domain.com.au/24-montalto-avenue-toorak-vic-3142-16063542,24 Montalto Avenue Toorak VIC 3142,2500,2,2,2,House,eleg contemporari
32,-37.880361,144.9889154,https://www.domain.com.au/3-knight-street-elwood-vic-3184-16014388,3 Knight Street Elwood VIC 3184,2500,3,3,1,House,strike three bedroom home pool separ studio agent
33,-37.9837637,145.0499964,https://www.domain.com.au/46-48-wells-road-beaumaris-vic-3193-16001198,46-48 Wells Road Beaumaris VIC 3193,2500.0,4,3,2,House,exquisit live beauti
