SA2_CODE_2021,Median_age_persons,Median_mortgage_repay_monthly,Median_tot_prsnl_inc_weekly,Median_rent_weekly,Median_tot_fam_inc_weekly,Average_num_psns_per_bedroom,Median_tot_hhd_inc_weekly,Average_household_size
201011001,34,1698,865,370,2218,0.8,1952,2.8
201011002,45,1700,842,313,2276,0.7,1573,2.2
201011005,42,1662,805,330,2270,0.8,1927,2.7
201011006,33,1500,775,360,1855,0.7,1627,2.6
201011007,41,1733,802,350,2236,0.8,2065,3
201011008,38,1300,642,260,1517,0.7,1191,2.3
201011481,41,1300,671,288,1579,0.7,1209,2.1
201011482,41,1560,837,300,2217,0.7,1644,2.4
201011483,37,1387,733,295,1800,0.7,1396,2.3
201011484,39,1179,614,260,1362,0.7,1020,2.1
201021009,43,1700,770,330,2053,0.8,1731,2.5
201021010,49,1300,628,250,1625,0.7,1238,2.3
201021011,53,1600,703,330,1784,0.8,1343,2.1
201021012,44,1695,765,270,2111,0.8,1813,2.7
201031013,53,1006,516,200,1286,0.7,985,2.2
201031014,49,1216,628,218,1552,0.7,1193,2.2
201031015,43,1387,668,250,1768,0.8,1455,2.6
201031016,51,1000,511,240,1220,0.7,876,2.1
201031017,53,1046,494,200,1323,0.7,956,2.2
202011018,39,1300,712,280,1665,0.7,1267,2.1
202011019,38,1300,660,280,1528,0.7,1223,2.4
202011020,44,1430,759,295,1929,0.7,1408,2.2
202011021,38,1399,770,290,1957,0.7,1465,2.3
202011022,42,1300,676,290,1580,0.7,1238,2.2
202011023,37,1690,896,380,2358,0.8,2203,3.1
202011024,39,1742,897,400,2411,0.8,2217,2.9
202011025,34,1469,811,330,1941,0.8,1689,2.7
202021026,41,1625,836,320,2197,0.8,2040,2.9
202021027,50,1408,683,310,1676,0.7,1200,2.1
202021028,52,1473,666,280,1746,0.7,1317,2.2
202021029,53,1387,556,260,1450,0.7,1115,2.2
202021030,46,1737,771,351,2086,0.7,1695,2.4
202021031,46,2000,870,392,2547,0.8,2113,2.6
202031032,46,1300,681,230,1767,0.8,1454,2.5
202031033,52,867,551,170,1375,0.7,1027,2.2
203011034,36,1907,865,386,2325,0.8,2159,3
203011035,40,1733,780,308,2103,0.8,1898,2.9
203011036,43,1733,826,300,2162,0.8,1845,2.6
203021037,37,1700,799,350,2070,0.8,1510,2.3
203021039,40,1703,843,340,2211,0.8,1542,2.1
203021040,37,1842,918,335,2365,0.8,1719,2.3
203021042,38,2000,859,365,2575,0.8,2111,2.7
203021043,37,1755,827,370,2227,0.8,1966,2.7
203021044,41,1603,757,375,1956,0.7,1589,2.5
203021045,45,1367,627,300,1473,0.8,1161,2.2
203021046,40,2167,1001,360,2861,0.8,2092,2.5
203021047,42,1560,692,340,1812,0.8,1386,2.3
203021485,31,1755,918,420,2216,0.7,1988,2.6
203021486,36,1300,574,280,1430,0.8,1230,2.6
203021487,36,1733,784,390,2128,0.8,1779,2.6
203021488,38,1200,499,254,1228,0.8,926,2.1
203031048,45,1650,707,380,1784,0.7,1424,2.4
203031049,55,2167,881,390,2127,0.7,1684,2.2
203031051,59,1667,605,340,1429,0.6,1139,2.1
203031052,61,2000,818,400,1965,0.6,1521,2.1
203031053,40,2167,1001,500,2627,0.8,2281,2.7
203031489,35,1907,1004,420,2399,0.8,2201,2.7
203031490,44,2000,850,420,2320,0.7,1882,2.5
204011054,54,1300,643,250,1528,0.7,1135,2.1
204011055,55,1170,621,250,1479,0.7,1133,2.1
204011056,40,1603,737,330,1949,0.7,1574,2.5
204011057,48,1500,722,320,1708,0.7,1331,2.3
204011058,51,1500,715,285,1755,0.7,1293,2.2
204011059,45,1300,633,250,1483,0.7,1165,2.2
204011060,39,1733,908,265,2126,0.8,1900,2.7
204011061,43,1100,540,260,1375,0.9,900,2.1
204011062,53,1500,635,300,1592,0.7,1222,2.2
204021063,51,1253,645,250,1521,0.7,1142,2.1
204021064,52,1365,688,220,1626,0.7,1363,2.4
204021065,49,1300,734,243,1808,0.7,1344,2.3
204021066,44,1300,708,260,1732,0.7,1242,2.2
204021067,48,1500,763,250,1847,0.8,1501,2.5
204031068,49,1560,766,300,1899,0.7,1434,2.3
204031069,47,1500,768,298,1826,0.7,1397,2.3
204031070,47,1389,752,260,1915,0.7,1493,2.4
204031071,50,1400,683,250,1673,0.7,1226,2.3
204031072,52,1200,688,210,1657,0.7,1280,2.2
204031073,39,1387,763,290,1905,0.7,1470,2.4
204031075,45,1690,851,280,2125,0.8,1833,2.6
204031491,33,1707,977,385,2266,0.8,2143,2.9
204031492,41,1300,717,260,1606,0.7,1214,2.2
205011076,39,1625,704,330,1799,0.7,1452,2.5
205011077,48,1517,695,250,1782,0.8,1456,2.5
205011078,43,1500,722,300,1846,0.7,1452,2.4
205011079,41,1647,756,320,1993,0.7,1590,2.5
205021080,0,0,0,0,0,0,0,0
205021081,45,1300,648,280,1516,0.7,1194,2.3
205021082,48,1343,669,250,1619,0.8,1323,2.4
205021083,0,0,0,0,0,0,0,0
205021084,55,1300,562,270,1317,0.7,1014,2.2
205021085,55,1083,529,190,1280,0.7,926,2.1
205021086,61,1300,571,310,1314,0.7,1071,2.1
205031087,54,1300,619,250,1466,0.7,1110,2.1
205031088,52,1800,444,346,1050,0.9,1014,2.3
205031089,46,1499,680,280,1725,0.8,1384,2.5
205031090,47,1457,668,270,1744,0.7,1315,2.4
205031091,52,1517,640,330,1490,0.7,1175,2.2
205031092,31,0,1291,100,2374,0.7,1333,1.5
205031093,51,1467,618,298,1480,0.7,1154,2.2
205041094,42,1300,668,230,1715,0.7,1409,2.5
205041095,45,1083,583,210,1441,0.7,1017,2.2
205041096,43,953,523,215,1263,0.7,942,2.2
205041098,41,1300,747,250,1994,0.8,1656,2.6
205041493,41,1300,709,250,1847,0.7,1386,2.3
205041494,39,1326,822,300,2082,0.7,1635,2.4
205051099,65,1680,575,20,1124,0.5,699,1.4
205051100,52,1300,600,200,1476,0.7,1079,2.2
205051101,43,1300,670,250,1726,0.7,1324,2.4
205051102,39,1300,723,236,1837,0.8,1487,2.5
205051103,42,1300,702,280,1777,0.7,1331,2.3
205051104,53,1192,547,240,1343,0.7,1012,2.2
206011106,33,2000,1244,421,2834,1,2087,2
206011107,35,2000,1002,365,2539,0.9,1786,2.1
206011109,39,2167,954,421,2761,0.9,2245,2.7
206011495,34,2167,1032,431,2718,0.9,2062,2.2
206011496,34,2018,1154,450,2880,0.9,2126,2.1
206011497,37,2100,880,416,2413,0.9,1944,2.4
206011498,37,2299,905,450,2645,0.9,2186,2.6
